Date,Open,High,Low,Close,Adj Close,Volume
03-11-2022,145.600006,149.899994,145.600006,148.149994,143.862579,1004294
04-11-2022,149.899994,149.899994,143.649994,144.550003,140.36676,1567374
07-11-2022,159,161.75,151.949997,158.350006,153.767395,9508311
09-11-2022,159.199997,166.899994,157.300003,166.300003,161.48732,4042444
10-11-2022,166,168.199997,163.399994,165.449997,160.661926,2798700
11-11-2022,168,168.649994,161.399994,161.75,157.069,1900277
14-11-2022,161.649994,165.050003,159.899994,163.949997,159.205322,1497221
15-11-2022,164.300003,165.449997,161.800003,162.949997,158.234268,1596603
16-11-2022,164,165.100006,162.100006,163.350006,158.622696,1091946
17-11-2022,162.600006,164.899994,162.600006,163.649994,158.914001,1607529
18-11-2022,164.399994,165.75,161.800003,162.800003,158.088623,1446734
21-11-2022,161.699997,164.300003,161.149994,161.850006,157.166107,1090777
22-11-2022,162.199997,167.350006,162,166.800003,161.972855,922881
23-11-2022,167.899994,170.300003,166.25,168.800003,163.914978,1509263
24-11-2022,169.300003,171.949997,168.899994,170.399994,165.468658,905155
25-11-2022,170.699997,172.649994,166.850006,167.800003,162.943924,1429555
28-11-2022,168.350006,168.800003,166,167.800003,162.943924,1355244
29-11-2022,168.399994,169.5,167.149994,167.75,162.895355,644146
30-11-2022,169.199997,169.199997,164.5,166.199997,161.390213,663705
01-12-2022,167.75,172.550003,166.399994,171.800003,166.828156,1511726
02-12-2022,171.550003,174.25,170.649994,171.199997,166.245514,1383852
05-12-2022,171.25,172.449997,170.300003,172,167.022369,797677
06-12-2022,172.5,176.100006,172.449997,174.449997,169.401459,2007462
07-12-2022,175.199997,176.850006,173.399994,176.5,171.392136,1269518
08-12-2022,176.649994,189.399994,176.649994,188.050003,182.607895,3591917
09-12-2022,188.699997,197.199997,184.75,188.550003,183.093414,3856696
12-12-2022,188.199997,190.699997,185.699997,190.100006,184.598572,1321489
13-12-2022,190.699997,194.649994,190,193.050003,187.463196,1319813
14-12-2022,194.5,194.949997,191,191.600006,186.055161,1141594
15-12-2022,191.600006,193.199997,183.850006,184.600006,179.257736,1287414
16-12-2022,184,184.899994,181,182,176.732971,1264929
19-12-2022,182.199997,184.199997,180.899994,182.5,177.218506,824291
20-12-2022,182.5,184.75,179.149994,183.649994,178.33522,736977
21-12-2022,184.25,186.600006,175.649994,177.550003,172.411758,1786393
22-12-2022,178.100006,180.100006,173.699997,176.550003,171.440689,1679072
23-12-2022,173.550003,175.550003,168.050003,169,164.109192,1032447
26-12-2022,168.550003,178.149994,167.25,177.100006,171.974777,859073
27-12-2022,178.699997,178.699997,174.899994,177.699997,172.557404,857285
28-12-2022,177.5,184.949997,176.550003,181.5,176.247437,1666225
29-12-2022,181.050003,187,179.199997,185.350006,179.986023,964797
30-12-2022,186.649994,188.399994,184.100006,185.649994,180.277328,1553339
02-01-2023,186.5,187.800003,185.149994,186.25,180.85997,610996
03-01-2023,186.25,189.850006,186.25,187.5,182.073807,855833
04-01-2023,187.350006,188.600006,181.25,182.699997,177.412704,1235131
05-01-2023,183.850006,185.550003,181.449997,184.399994,179.063507,1115002
06-01-2023,184.449997,185.199997,181.149994,183.199997,177.898239,723938
09-01-2023,184.100006,187.75,182.449997,185.25,179.888916,617605
10-01-2023,185.5,185.600006,178.25,180.5,175.276382,914511
11-01-2023,181,182.300003,177.149994,181.399994,176.15033,662789
12-01-2023,182.199997,183,179.699997,181.800003,176.538757,679106
13-01-2023,181.949997,185.199997,181.300003,184.899994,179.549042,895447
16-01-2023,185.100006,188,184.600006,185.75,180.374451,970159
17-01-2023,185.75,186.699997,179.300003,181.75,176.490204,933209
18-01-2023,182.199997,182.5,177.399994,178.199997,173.042938,668252
19-01-2023,177.550003,178.25,176,177.949997,172.800171,380958
20-01-2023,178.100006,181.75,177.850006,179.449997,174.25676,999480
23-01-2023,180.75,182.050003,179.949997,180.600006,175.373489,528183
24-01-2023,181,182.149994,177.600006,177.949997,172.800171,473442
25-01-2023,178.199997,178.550003,166.350006,169.800003,164.886032,1537235
27-01-2023,170.5,170.550003,156.100006,157.300003,152.747787,2258975
30-01-2023,156.699997,163.75,153.050003,158.5,153.913055,2451534
31-01-2023,160.300003,168.649994,159.5,167.899994,163.041016,1665240
01-02-2023,169.600006,169.949997,151.149994,154.300003,149.83461,4113116
02-02-2023,151.649994,156.399994,146.5,154.100006,149.640396,2161693
03-02-2023,157.149994,164.350006,151.699997,163.649994,158.914001,4804750
06-02-2023,165.399994,168.699997,163.649994,167.800003,162.943924,2578954
07-02-2023,168,170.449997,166.800003,168.5,163.623657,1033101
08-02-2023,168.5,169.399994,166.100006,168,163.138123,842081
09-02-2023,167.550003,170.899994,163.949997,169.399994,164.497604,1299066
10-02-2023,170,173.850006,168.600006,169.300003,164.400513,1483499
13-02-2023,169.350006,170.649994,164.149994,165.199997,160.419159,1202815
14-02-2023,166,169.300003,163.699997,168.75,163.866425,1308651
15-02-2023,168.350006,169.899994,167.600006,169.550003,164.64328,661315
16-02-2023,170,171.350006,169.300003,169.949997,165.031693,832835
17-02-2023,168.699997,169.100006,164.699997,166.75,161.924301,567390
20-02-2023,167.550003,168.449997,163.399994,164.300003,159.545212,1133326
21-02-2023,164.25,164.5,159.550003,159.949997,155.321091,1645780
22-02-2023,158.699997,159.399994,155.649994,157.199997,152.650665,1163673
23-02-2023,157.300003,158.300003,153.149994,155.550003,151.048431,1463242
24-02-2023,156.800003,157.75,153.75,154.600006,150.125931,961764
27-02-2023,153.600006,159.350006,153.600006,159,154.39859,1376262
28-02-2023,160.050003,161.149994,157.25,159.25,154.641342,2219807
01-03-2023,157.949997,164.699997,157.800003,164.399994,159.642303,1563715
02-03-2023,164.149994,166.25,162.800003,164.649994,159.885071,1003969
03-03-2023,166.800003,173.600006,166.800003,172.949997,167.94487,3039056
06-03-2023,173.149994,176.399994,172.5,173.149994,168.139084,1427988
08-03-2023,170.600006,174.600006,170.600006,174,168.964493,951533
09-03-2023,174.5,174.949997,170.949997,171.5,166.536835,606323
10-03-2023,170.350006,170.350006,166.050003,167.800003,162.943924,733707
13-03-2023,167,170,163.5,163.899994,159.156769,1075204
14-03-2023,162.800003,164.850006,161,162.5,157.797302,819605
15-03-2023,164.699997,164.899994,158.699997,159.300003,154.689911,934699
16-03-2023,158.550003,161.399994,155.649994,159.649994,155.02977,1473871
17-03-2023,161.800003,162.649994,158.25,160,155.369644,740581
20-03-2023,158.050003,159.649994,155.75,158.699997,154.107269,739269
21-03-2023,159.300003,163.449997,159.300003,163.050003,158.331375,682302
22-03-2023,164.350006,168.199997,163.350006,167.449997,162.604034,1050456
23-03-2023,166.100006,167.050003,162.25,162.699997,157.991501,935098
24-03-2023,162.149994,163.899994,159.149994,159.800003,155.17543,771376
27-03-2023,159.300003,162.300003,158.649994,161.25,156.583466,1182968
28-03-2023,161.800003,161.800003,158.850006,160.75,156.097946,928256
29-03-2023,160.199997,164.949997,160.100006,164.5,159.73941,1020170
31-03-2023,165.25,169.699997,165.25,168.800003,163.914978,1192104
03-04-2023,169,170.199997,168.100006,169.199997,164.303391,602010
05-04-2023,169.149994,169.699997,165.100006,167.100006,162.264175,1247527
06-04-2023,167.199997,169.199997,165.449997,166.850006,162.021408,1263046
10-04-2023,167.199997,168.100006,165.399994,166.199997,161.390213,350068
11-04-2023,173,173.699997,170.199997,170.850006,165.905655,1211527
12-04-2023,171,172.100006,169.25,170.350006,165.42012,646288
13-04-2023,170,171.850006,168.550003,171.300003,166.342621,514040
